Id	Area	Bedrooms	Bathrooms	Floors	YearBuilt	Location	Condition	Garage	Price
3006	1447	1	1	4	2026	Coimbatore	Very Good	Yes	15185285
3007	2946	4	3	1	2013	Mysore	Poor	Yes	20519864
3008	975	1	2	3	2003	Mumbai	Excellent	Yes	24412098
3009	3799	6	5	1	2022	Coimbatore	Good	Yes	39159704
3010	4785	6	5	4	1998	Pune	Very Good	No	75571937
3011	4292	5	5	1	2007	Jaipur	Good	No	41112581
3012	4911	6	5	4	2020	Mumbai	Fair	Yes	101669147
3013	3405	4	3	3	2003	Noida	Good	Yes	48783627
3014	3162	5	5	4	2021	Mysore	Very Good	Yes	33615112
3015	536	1	2	4	2005	Hyderabad	Very Good	Yes	8166666
3016	3549	5	4	1	2004	Kochi	Good	Yes	35604837
3017	3003	4	4	3	2021	Jaipur	Excellent	Yes	35772263
3018	867	2	2	1	1998	Bangalore	Very Good	Yes	14923013
3019	1376	2	2	3	2018	Ahmedabad	Very Good	Yes	17136549
3020	2396	2	3	2	2022	Kochi	Good	Yes	27893604
3021	3418	4	4	2	2014	Delhi	Very Good	Yes	65988790
3022	2104	3	2	2	2016	Delhi	Good	Yes	39242714
3023	619	1	1	1	2001	Mumbai	Good	Yes	13772615
3024	1381	1	1	4	2021	Jaipur	Very Good	Yes	16522644
3025	3119	4	3	4	1999	Kochi	Excellent	No	33564007
3026	1749	1	1	2	2008	Ahmedabad	Very Good	Yes	21056638
3027	728	1	1	1	2000	Mumbai	Very Good	No	16412453
3028	3858	6	5	2	2016	Chennai	Good	No	48361262
3029	4128	6	5	3	2005	Hyderabad	Good	Yes	45140811
3030	3358	5	5	1	2016	Kochi	Excellent	Yes	43775979
3031	3287	4	3	3	2026	Coimbatore	Good	Yes	35048452
3032	4716	6	5	4	2015	Pune	Very Good	Yes	74310344
3033	3460	6	5	4	2007	Coimbatore	Very Good	Yes	32982176
3034	1020	1	2	2	1998	Hyderabad	Excellent	No	13420625
3035	3292	6	5	2	2003	Pune	Very Good	Yes	52499421
3036	4637	6	5	1	2022	Ahmedabad	Fair	Yes	44840888
3037	4040	6	5	1	1999	Ahmedabad	Very Good	Yes	40920804
3038	1357	2	2	1	2021	Jaipur	Very Good	No	14320883
3039	3128	4	4	3	2004	Chennai	Very Good	Yes	42373910
3040	1149	2	2	4	2020	Coimbatore	Very Good	Yes	12643526
3041	1849	4	5	2	2001	Mysore	Poor	No	12938109
3042	4121	6	5	4	2008	Bangalore	Good	No	67806409
3043	1998	3	3	3	2026	Chennai	Good	No	26607752
3044	4729	6	5	3	2020	Hyderabad	Poor	No	45283919
3045	4463	5	5	2	2026	Jaipur	Fair	No	44867108
3046	3126	3	3	4	2014	Coimbatore	Fair	Yes	26343404
3047	2339	2	2	4	2025	Mumbai	Very Good	Yes	58310551
3048	3398	5	5	1	2025	Coimbatore	Very Good	Yes	36902649
3049	4490	6	5	3	2019	Mumbai	Very Good	Yes	113226467
3050	593	1	1	4	2006	Noida	Good	No	9349360
3051	3117	3	4	3	2014	Chennai	Excellent	No	50965195
3052	3116	4	5	2	2012	Delhi	Very Good	Yes	61881557
3053	1113	2	2	4	2003	Pune	Good	No	16183418
3054	2183	3	3	4	2008	Ahmedabad	Excellent	Yes	28420399
3055	3665	5	5	2	1998	Hyderabad	Good	No	42324185
3056	4919	6	5	3	2003	Pune	Excellent	No	84828932
3057	2277	2	1	1	2013	Hyderabad	Very Good	Yes	32084947
3058	3284	6	5	2	2018	Mumbai	Very Good	No	84555146
3059	4468	6	5	1	2018	Chennai	Very Good	No	66775335
3060	1224	2	1	3	2026	Ahmedabad	Fair	Yes	13877015
3061	2282	3	3	4	2017	Pune	Very Good	No	37843192
3062	2384	3	3	1	2021	Hyderabad	Fair	Yes	28934884
3063	3297	5	5	1	2012	Bangalore	Fair	Yes	51949721
3064	3243	5	5	4	2000	Hyderabad	Excellent	Yes	42012323
3065	4432	6	5	4	2026	Noida	Very Good	Yes	86802264
3066	2319	2	2	1	2005	Bangalore	Very Good	No	39461289
3067	3764	4	4	1	2015	Hyderabad	Very Good	No	49945145
3068	972	1	1	4	2012	Coimbatore	Very Good	Yes	10365537
3069	1101	2	2	4	1998	Ahmedabad	Very Good	Yes	13291957
3070	611	1	1	1	2003	Bangalore	Good	No	9632390
3071	675	1	2	1	2005	Chennai	Excellent	Yes	10316214
3072	1754	3	3	4	2003	Mysore	Very Good	No	17134113
3073	2558	4	3	1	2026	Pune	Excellent	Yes	52491921
3074	1138	2	3	4	2026	Chennai	Very Good	No	17530120
3075	1515	3	3	2	2007	Kochi	Very Good	Yes	16091231
3076	2341	3	3	2	2000	Chennai	Fair	No	24876792
3077	3203	5	5	2	2017	Delhi	Excellent	Yes	69104252
3078	4773	6	5	1	2002	Noida	Excellent	No	82339999
3079	2386	4	4	4	2010	Delhi	Good	Yes	42878845
3080	2620	5	5	2	2022	Noida	Very Good	No	44980232
3081	3568	5	5	2	2023	Noida	Good	No	56898390
3082	1780	2	1	1	2009	Chennai	Good	Yes	23506974
3083	3929	6	5	2	2017	Noida	Very Good	No	74113224
3084	1412	2	3	2	2012	Jaipur	Very Good	Yes	16625716
3085	1651	2	3	3	2011	Pune	Excellent	No	30195697
3086	2381	3	3	4	2023	Hyderabad	Good	Yes	32727512
3087	1080	2	2	2	2009	Mumbai	Good	No	23087921
3088	3369	5	4	4	2000	Coimbatore	Very Good	No	34431409
3089	1104	1	1	2	2009	Bangalore	Fair	No	16234732
3090	615	1	1	1	1999	Delhi	Good	Yes	10510834
3091	4383	6	5	4	2009	Hyderabad	Good	No	55101761
3092	4694	6	5	4	2006	Chennai	Good	Yes	54658565
3093	2330	4	5	2	2008	Bangalore	Good	No	35507138
3094	4324	6	5	2	2024	Ahmedabad	Fair	Yes	42752495
3095	2009	3	3	4	2022	Noida	Good	No	35891958
3096	559	1	2	1	2002	Hyderabad	Good	Yes	6866471
3097	4242	6	5	4	2002	Ahmedabad	Good	No	44851182
3098	2975	3	4	3	2023	Bangalore	Poor	No	38674840
3099	3458	6	5	1	2013	Hyderabad	Good	Yes	44777486
3100	2581	4	4	4	2016	Chennai	Very Good	Yes	41420049
3101	979	2	2	2	2019	Mysore	Excellent	No	12285898
3102	513	1	1	2	2021	Mysore	Good	Yes	5360125
3103	4320	5	5	2	2023	Bangalore	Very Good	Yes	81522071
3104	4461	6	5	4	2018	Ahmedabad	Very Good	Yes	58380980
3105	1680	2	2	2	2001	Mumbai	Very Good	Yes	37558952
3106	3461	6	5	1	2000	Pune	Good	No	45466441
3107	1061	2	3	3	2018	Delhi	Fair	Yes	18002170
3108	1659	2	3	3	2026	Delhi	Very Good	No	37844165
3109	3829	6	5	2	2010	Noida	Good	Yes	59201104
3110	1265	2	1	1	2020	Noida	Fair	Yes	19601475
3111	3455	5	5	3	1998	Delhi	Very Good	Yes	64193861
3112	669	2	2	3	2021	Hyderabad	Good	Yes	9133614
3113	1366	3	3	4	2014	Mumbai	Poor	Yes	28525276
3114	1597	3	4	2	2004	Kochi	Good	Yes	15956239
3115	3526	6	5	1	2025	Hyderabad	Good	Yes	44926684
3116	2269	4	4	1	2011	Mysore	Poor	No	16021162
3117	1311	2	2	1	2011	Hyderabad	Very Good	No	16817672
3118	3903	6	5	3	1998	Noida	Poor	No	43090030
3119	4025	6	5	4	1999	Jaipur	Good	Yes	35928538
3120	3595	5	4	1	2005	Mumbai	Good	Yes	72780426
3121	2437	2	1	2	2024	Kochi	Good	Yes	26190102
3122	1559	1	1	3	2019	Mumbai	Good	No	33792108
3123	2749	4	3	4	2024	Pune	Good	No	43867569
3124	2258	2	2	2	2011	Kochi	Good	Yes	22280413
3125	4642	6	5	4	1998	Kochi	Fair	Yes	40923107
3126	805	1	1	1	2003	Kochi	Very Good	Yes	8396064
3127	2504	3	4	4	2020	Chennai	Fair	Yes	29445660
3128	1260	2	2	2	2016	Mysore	Poor	Yes	9614117
3129	2111	3	4	3	2003	Delhi	Excellent	No	47054254
3130	541	2	2	3	2014	Ahmedabad	Very Good	No	7620370
3131	1836	3	3	2	2006	Mysore	Very Good	No	17228616
3132	4608	6	5	1	2017	Noida	Good	No	74945267
3133	1615	3	4	1	2008	Coimbatore	Very Good	Yes	17872519
3134	1179	2	1	1	2003	Hyderabad	Good	Yes	14087222
3135	1470	2	1	4	2020	Bangalore	Excellent	Yes	32718907
3136	1787	4	4	1	1999	Jaipur	Excellent	No	20395492
3137	2451	4	5	2	2023	Delhi	Good	Yes	46782687
3138	2697	4	3	3	2024	Kochi	Fair	No	26506318
3139	2646	3	3	2	2022	Mysore	Poor	No	19641205
3140	1301	1	1	2	2020	Hyderabad	Very Good	Yes	18048002
3141	2979	5	5	4	2016	Chennai	Very Good	No	41155085
3142	4303	6	5	2	2013	Mysore	Very Good	No	39993685
3143	1301	1	2	4	2001	Noida	Good	No	18560584
3144	952	1	1	3	2018	Pune	Excellent	Yes	18209204
3145	3137	4	4	1	2019	Ahmedabad	Good	Yes	33512135
3146	4135	6	5	4	2002	Kochi	Good	No	40746450
3147	2185	3	4	4	2020	Ahmedabad	Excellent	Yes	30366340
3148	1453	2	3	3	1999	Kochi	Very Good	Yes	14914317
3149	2218	2	2	4	2016	Mysore	Fair	No	17862203
3150	3619	5	4	1	2008	Chennai	Good	No	42586439
3151	3493	6	5	3	2020	Pune	Very Good	No	64940796
3152	4471	6	5	2	2015	Ahmedabad	Good	No	47915570
3153	2761	3	3	3	2026	Hyderabad	Fair	Yes	31505636
3154	3614	6	5	1	2016	Kochi	Good	Yes	40036979
3155	4108	6	5	3	2016	Bangalore	Fair	Yes	60974208
3156	770	1	1	4	2025	Ahmedabad	Good	No	9054540
3157	3505	5	5	4	2014	Chennai	Good	No	44789357
3158	4145	6	5	4	2005	Mumbai	Good	Yes	87642357
3159	3152	6	5	2	2009	Coimbatore	Good	Yes	28894915
3160	4985	6	5	4	2009	Noida	Very Good	No	84780179
3161	1420	2	3	2	2015	Delhi	Excellent	No	32333865
3162	2930	4	5	2	2005	Mysore	Good	No	26552784
3163	2438	3	3	2	2006	Mumbai	Good	No	55356173
3164	2624	4	5	4	1999	Chennai	Good	No	29552686
3165	1144	3	2	3	2020	Mumbai	Good	No	29277381
3166	791	2	3	1	2002	Hyderabad	Good	Yes	10722672
3167	4044	6	5	4	2006	Coimbatore	Good	No	34009422
3168	3202	4	5	1	2021	Hyderabad	Very Good	No	46059633
3169	902	1	1	1	2014	Delhi	Good	No	17640266
3170	619	2	2	3	1998	Chennai	Excellent	Yes	9695609
3171	2085	2	1	4	2007	Jaipur	Good	No	18037149
3172	1544	2	2	2	2002	Chennai	Good	No	17571262
3173	3983	6	5	4	2016	Chennai	Excellent	Yes	63308806
3174	2050	3	3	3	2023	Ahmedabad	Very Good	No	27013587
3175	3887	6	5	4	2024	Pune	Excellent	No	81018194
3176	539	1	2	1	2003	Hyderabad	Poor	No	5415064
3177	4328	6	5	3	2004	Delhi	Good	No	72925410
3178	1354	2	2	2	2004	Chennai	Good	No	18119577
3179	2355	4	4	4	2022	Kochi	Good	No	26316252
3180	1089	2	3	1	2010	Kochi	Poor	No	9896545
3181	672	1	2	1	2004	Ahmedabad	Poor	No	6167522
3182	831	1	1	3	2022	Bangalore	Very Good	No	17183369
3183	1593	2	2	1	2026	Pune	Good	Yes	26499674
3184	3534	5	4	1	2022	Hyderabad	Good	Yes	45368837
3185	4944	6	5	1	2020	Noida	Good	Yes	76137677
3186	1448	2	2	3	2010	Noida	Fair	No	21482678
3187	4683	6	5	1	2002	Kochi	Poor	No	35041615
3188	2806	5	5	1	2022	Mysore	Very Good	No	30953596
3189	719	1	1	1	2003	Mysore	Good	Yes	6402772
3190	4094	6	5	3	2009	Jaipur	Excellent	No	46850104
3191	3929	6	5	3	2017	Mysore	Good	No	36027547
3192	1028	1	1	2	2005	Ahmedabad	Very Good	Yes	11564602
3193	4377	5	5	4	2022	Noida	Good	No	72373785
3194	2098	2	3	4	2002	Chennai	Good	Yes	27178256
3195	4144	6	5	2	2024	Mysore	Excellent	No	46686620
3196	2227	4	3	2	2005	Mysore	Very Good	Yes	22206799
3197	2938	4	3	3	2011	Pune	Good	Yes	42515368
3198	898	1	1	1	2023	Chennai	Fair	Yes	11013582
3199	4972	6	5	2	2009	Mumbai	Good	Yes	116644804
3200	4386	6	5	2	2006	Chennai	Very Good	Yes	63168257
3201	1554	2	2	3	2001	Delhi	Very Good	Yes	31621006
3202	802	1	1	4	2017	Noida	Good	Yes	13104382
3203	1375	2	2	3	2017	Kochi	Fair	Yes	14438278
3204	4376	6	5	1	2010	Kochi	Good	Yes	41999059
3205	525	1	2	1	2022	Mysore	Fair	Yes	5188504
3206	2468	5	5	4	2017	Chennai	Very Good	No	34498732
3207	1354	1	1	3	1998	Kochi	Good	No	13288122
3208	4545	5	4	2	1998	Delhi	Fair	Yes	69489768
3209	1458	3	2	4	2018	Mumbai	Very Good	No	38559864
3210	3457	4	5	1	2018	Pune	Excellent	Yes	66637815
3211	2174	3	4	1	2026	Pune	Fair	No	31760137
3212	881	2	2	4	2011	Coimbatore	Very Good	Yes	9478480
3213	3954	6	5	3	2018	Pune	Good	No	63024222
3214	2356	2	1	4	2025	Delhi	Excellent	Yes	58940799
3215	684	1	1	2	2006	Jaipur	Very Good	Yes	8051104
3216	4697	6	5	4	2005	Delhi	Excellent	No	108529072
3217	3018	3	2	4	1998	Hyderabad	Good	No	32780844
3218	1714	2	1	2	2000	Pune	Very Good	No	24942164
3219	1632	2	2	4	2006	Coimbatore	Very Good	No	15620385
3220	2623	4	3	4	2011	Mysore	Very Good	No	25563962
3221	2784	4	4	2	1998	Noida	Fair	Yes	38576969
3222	1773	3	3	3	2020	Ahmedabad	Very Good	Yes	23617650
3223	3553	5	5	2	2012	Mysore	Good	Yes	34479025
3224	3012	4	3	1	2016	Bangalore	Excellent	Yes	61524587
3225	996	1	1	3	2006	Jaipur	Fair	No	8950515
3226	2694	4	4	2	2007	Bangalore	Good	Yes	44278626
3227	1289	3	4	4	2004	Hyderabad	Very Good	No	17181044
3228	1006	1	1	2	2008	Noida	Good	Yes	15287445
3229	3679	6	5	4	2021	Noida	Good	No	58714797
3230	4762	6	5	1	2015	Bangalore	Fair	Yes	73930636
3231	1926	3	3	3	2015	Bangalore	Poor	No	28007268
3232	3379	4	4	2	2007	Noida	Fair	No	46891705
3233	4559	6	5	3	2025	Kochi	Very Good	No	50833758
3234	2001	3	2	1	2009	Bangalore	Good	Yes	30831436
3235	2562	5	5	1	1998	Noida	Good	No	34493611
3236	606	1	2	3	2000	Chennai	Fair	Yes	7803284
3237	2309	3	3	3	2018	Mysore	Good	No	20208386
3238	3904	6	5	1	2019	Mumbai	Very Good	No	105169942
3239	4741	6	5	3	2020	Chennai	Very Good	Yes	71691519
3240	1305	3	2	2	2007	Hyderabad	Very Good	Yes	17207211
3241	3413	4	4	1	2010	Mumbai	Good	No	74753937
3242	2485	4	4	4	2004	Mysore	Good	Yes	21214221
3243	4593	6	5	2	2020	Chennai	Good	Yes	62096757
3244	917	1	1	3	2016	Pune	Excellent	Yes	16418990
3245	2075	3	2	2	2013	Jaipur	Good	No	20750983
3246	2061	3	3	1	2022	Noida	Excellent	Yes	42560880
3247	3350	4	4	1	2007	Mumbai	Good	Yes	78378451
3248	4185	6	5	3	2006	Jaipur	Good	Yes	37856741
3249	4772	6	5	3	2020	Jaipur	Excellent	Yes	58206893
3250	3970	6	5	2	2003	Delhi	Good	Yes	70861766
3251	580	1	1	3	2009	Delhi	Very Good	No	11700705
3252	1992	3	4	1	2015	Noida	Very Good	No	36478174
3253	4747	6	5	4	2010	Ahmedabad	Good	No	51252370
3254	4982	6	5	1	2007	Chennai	Very Good	No	69049494
3255	1005	1	1	2	2013	Mumbai	Good	No	22990840
3256	2623	5	5	4	2021	Mysore	Fair	No	22722888
3257	2925	3	3	3	2022	Bangalore	Very Good	No	50676678
3258	4631	6	5	1	2016	Bangalore	Good	No	71113549
3259	4390	5	4	3	2012	Chennai	Fair	No	47256641
3260	4640	6	5	2	2008	Mumbai	Very Good	No	110267727
3261	2544	5	4	4	2015	Noida	Very Good	No	45191463
3262	727	1	2	4	2003	Bangalore	Excellent	No	13263683
3263	2334	3	2	3	2010	Ahmedabad	Fair	Yes	23627231
3264	1625	2	2	3	2002	Mysore	Excellent	Yes	16924034
3265	1753	3	3	1	2024	Coimbatore	Very Good	No	19938607
3266	3907	6	5	1	2001	Coimbatore	Fair	No	28995135
3267	2975	3	2	3	2003	Jaipur	Fair	Yes	25125510
3268	3431	6	5	1	2004	Hyderabad	Good	Yes	39079855
3269	691	2	2	1	2013	Coimbatore	Good	No	7023357
3270	3292	6	5	2	2004	Ahmedabad	Very Good	No	36397923
3271	1646	2	2	4	2007	Bangalore	Fair	Yes	24983123
3272	1792	2	1	4	2008	Bangalore	Good	No	29290207
3273	883	1	1	1	2025	Chennai	Very Good	Yes	14444606
3274	3152	4	5	2	2026	Mysore	Poor	No	24801365
3275	2307	3	4	1	2021	Coimbatore	Excellent	No	27679662
3276	3886	6	5	2	2010	Noida	Good	No	61945078
3277	1640	2	1	2	2003	Bangalore	Good	Yes	25257737
3278	961	1	1	4	2011	Mumbai	Very Good	Yes	22404450
3279	2854	4	5	3	1999	Mumbai	Good	No	57520669
3280	2326	3	3	3	2011	Mumbai	Excellent	No	68313311
3281	1232	2	2	4	2017	Bangalore	Excellent	No	24501560
3282	1164	2	3	4	2022	Ahmedabad	Very Good	Yes	16050944
3283	1233	3	3	3	2024	Ahmedabad	Good	Yes	16079797
3284	3146	4	4	4	2012	Pune	Very Good	No	53429242
3285	3570	4	5	3	2021	Mumbai	Good	No	79407497
3286	4800	6	5	3	2003	Noida	Poor	Yes	55571097
3287	1783	3	2	3	2004	Noida	Good	Yes	28504064
3288	1876	2	2	2	2001	Mumbai	Fair	Yes	33910240
3289	3156	6	5	1	2004	Kochi	Fair	Yes	29808303
3290	2780	5	5	3	2020	Coimbatore	Good	No	28412515
3291	735	1	1	3	2005	Pune	Fair	Yes	9703269
3292	4761	6	5	1	2017	Delhi	Very Good	No	91979656
3293	4132	6	5	2	2003	Coimbatore	Fair	No	33861766
3294	2825	4	5	1	1998	Chennai	Very Good	Yes	40221052
3295	2649	4	5	1	2004	Chennai	Excellent	Yes	39088424
3296	790	2	3	1	2007	Mysore	Good	No	8010957
3297	992	1	1	3	2004	Ahmedabad	Poor	No	8792844
3298	3671	6	5	4	2011	Coimbatore	Fair	No	31333998
3299	732	1	2	1	2006	Coimbatore	Fair	Yes	6273546
3300	1552	2	2	3	2018	Jaipur	Good	No	16610527
3301	3595	6	5	4	2002	Mysore	Very Good	No	30866122
3302	4548	6	5	1	2001	Delhi	Good	Yes	76096176
3303	4960	6	5	3	2000	Chennai	Good	No	63176124
3304	4928	6	5	3	2026	Noida	Good	No	78551994
3305	3271	5	5	3	2011	Pune	Excellent	No	61595881
3306	1353	3	3	4	2003	Kochi	Excellent	Yes	16038116
3307	3118	4	4	4	2025	Coimbatore	Good	No	31871770
3308	789	1	1	2	2021	Jaipur	Fair	Yes	8361555
3309	4136	6	5	2	2026	Mysore	Very Good	No	40868998
3310	2044	2	1	4	2006	Mumbai	Fair	No	37569097
3311	2215	3	4	1	2024	Chennai	Excellent	Yes	39218552
3312	4827	6	5	1	2025	Ahmedabad	Good	Yes	51785120
3313	3751	5	4	2	2010	Ahmedabad	Fair	No	38573420
3314	1100	3	3	1	1998	Ahmedabad	Fair	Yes	10245776
3315	4014	6	5	3	2020	Chennai	Good	No	57083382
3316	540	2	1	3	2014	Pune	Excellent	No	10268733
3317	1730	3	4	4	2000	Chennai	Good	No	21217858
3318	4894	6	5	1	2026	Delhi	Good	Yes	93526594
3319	2723	3	4	1	2013	Pune	Good	No	43672630
3320	1299	1	1	2	2007	Ahmedabad	Poor	No	11290801
3321	4376	6	5	1	2015	Hyderabad	Very Good	No	62436641
3322	2469	4	4	4	1998	Chennai	Good	Yes	31865111
3323	2578	3	3	4	2018	Coimbatore	Very Good	Yes	27107154
3324	4194	6	5	3	2024	Chennai	Excellent	Yes	67174798
3325	2813	4	5	3	2016	Mysore	Good	No	26577467
3326	3399	5	5	2	2006	Bangalore	Good	Yes	57317217
3327	4333	6	5	4	2024	Kochi	Very Good	No	50017429
3328	3312	6	5	3	2014	Noida	Good	No	51934327
3329	1761	3	3	4	2004	Pune	Good	Yes	24048408
3330	3401	6	5	4	2000	Jaipur	Good	Yes	33349794
3331	3139	4	4	1	2015	Noida	Fair	No	45491240
3332	870	1	1	4	1999	Kochi	Good	Yes	9123803
3333	2991	4	4	3	2015	Chennai	Good	Yes	42359198
3334	1155	1	2	4	1998	Pune	Good	No	16964227
3335	3241	4	4	3	2006	Coimbatore	Very Good	No	33179095
3336	3593	5	5	3	2023	Coimbatore	Fair	Yes	33921621
3337	3810	4	4	4	2002	Coimbatore	Very Good	No	38650032
3338	3911	6	5	2	2015	Bangalore	Very Good	Yes	66715117
3339	4597	6	5	1	2002	Chennai	Good	No	57945027
3340	831	1	2	4	2002	Bangalore	Poor	Yes	10499246
3341	2749	3	2	4	2002	Hyderabad	Very Good	No	32532976
3342	4138	6	5	1	2002	Coimbatore	Fair	Yes	30784507
3343	4648	6	5	1	2007	Hyderabad	Fair	No	51390814
3344	3662	4	4	3	2007	Jaipur	Very Good	Yes	35963123
3345	2837	5	5	3	2023	Mysore	Very Good	No	27955943
3346	3150	3	3	2	2019	Noida	Good	No	48298907
3347	5000	6	5	3	2020	Kochi	Very Good	Yes	55265043
3348	3012	3	3	2	2022	Hyderabad	Very Good	No	44768566
3349	3122	5	5	2	2002	Bangalore	Good	No	48699889
3350	4017	6	5	4	2015	Hyderabad	Excellent	No	61546103
3351	4080	6	5	1	2023	Bangalore	Very Good	Yes	77422895
3352	1363	2	1	2	2014	Hyderabad	Good	Yes	17129447
3353	2392	4	3	1	2006	Pune	Good	No	36836633
3354	3380	4	4	1	2003	Noida	Good	No	51911027
3355	4014	6	5	4	1998	Pune	Poor	No	42982918
3356	686	1	1	4	2006	Bangalore	Good	No	11045143
3357	2023	4	4	1	2010	Pune	Fair	No	27881379
3358	1560	1	1	2	2010	Mumbai	Good	Yes	33278263
3359	4595	6	5	3	1998	Noida	Good	Yes	64469443
3360	2475	4	4	4	2021	Kochi	Very Good	No	31017883
3361	4326	5	5	1	2012	Noida	Good	Yes	66785481
3362	2295	3	3	1	2016	Noida	Poor	No	28932626
3363	4665	6	5	3	2008	Mysore	Excellent	Yes	45255053
3364	1372	2	3	3	2013	Noida	Good	Yes	22914526
3365	4187	6	5	1	2001	Mumbai	Very Good	Yes	94752124
3366	2765	3	2	1	2023	Chennai	Good	Yes	40910165
3367	1566	1	1	4	2007	Hyderabad	Fair	Yes	18116187
3368	1280	1	2	1	2015	Hyderabad	Very Good	Yes	18061327
3369	3043	5	4	1	2014	Coimbatore	Good	No	30699417
3370	4721	6	5	1	2026	Delhi	Fair	No	79486720
3371	1085	1	1	1	2012	Delhi	Very Good	Yes	22595754
3372	1078	2	1	4	2014	Chennai	Fair	Yes	13672016
3373	4353	6	5	4	2026	Mysore	Fair	Yes	40201673
3374	2185	2	2	3	2010	Jaipur	Good	Yes	22487045
3375	1850	3	4	1	2018	Pune	Very Good	Yes	32243254
3376	2117	4	5	4	2014	Kochi	Good	No	21410967
3377	834	1	1	4	2015	Pune	Very Good	No	14078128
3378	3176	4	4	3	2017	Bangalore	Very Good	Yes	61891294
3379	4971	6	5	4	2001	Pune	Good	No	68373347
3380	772	2	2	2	2009	Mumbai	Good	Yes	19410872
3381	3721	5	5	4	2020	Noida	Good	No	64403396
3382	2466	5	4	1	2013	Ahmedabad	Excellent	Yes	33958160
3383	1764	3	4	4	2022	Kochi	Fair	No	18693002
3384	3860	6	5	4	2011	Delhi	Good	Yes	71575117
3385	2362	2	2	2	2024	Jaipur	Good	No	22555163
3386	1933	2	1	4	2010	Chennai	Good	No	23137030
3387	2417	2	2	3	2019	Pune	Good	Yes	36861010
3388	2633	5	5	4	2000	Noida	Excellent	No	50652218
3389	2688	3	3	4	2000	Kochi	Poor	No	19515222
3390	4823	6	5	2	2010	Noida	Fair	Yes	63398840
3391	604	1	1	3	2025	Delhi	Good	Yes	13503498
3392	2573	3	3	2	2019	Coimbatore	Excellent	Yes	32467972
3393	3072	3	2	1	2021	Mysore	Very Good	Yes	30142157
3394	2383	3	3	3	1999	Hyderabad	Good	Yes	25034985
3395	3108	4	3	3	2021	Chennai	Fair	Yes	41514272
3396	3573	4	4	3	2019	Jaipur	Very Good	No	36609410
3397	3545	4	3	3	2017	Mysore	Fair	No	26762524
3398	1264	3	3	2	2017	Coimbatore	Good	No	13598313
3399	3561	5	4	1	2022	Delhi	Fair	No	66891973
3400	4144	5	5	3	2024	Mysore	Fair	Yes	35387140
3401	4397	5	5	1	2002	Mysore	Very Good	Yes	41812792
3402	3935	6	5	4	2009	Ahmedabad	Very Good	No	45887728
3403	2523	4	3	1	2025	Noida	Fair	Yes	41664957
3404	4690	6	5	3	2021	Mumbai	Very Good	No	128569668
3405	3091	5	5	2	2013	Mysore	Poor	No	22688809
3406	533	1	1	4	2019	Noida	Good	No	9980438
3407	3048	4	4	2	2008	Delhi	Very Good	No	55949649
3408	4641	6	5	4	2012	Jaipur	Very Good	Yes	49088140
3409	1342	3	3	1	2011	Delhi	Fair	No	24506441
3410	4970	6	5	1	2016	Pune	Good	Yes	75508181
3411	2064	3	2	2	2007	Noida	Good	Yes	32531708
3412	3805	5	5	1	2013	Jaipur	Very Good	No	37873016
3413	4389	5	4	2	2005	Ahmedabad	Good	Yes	46713692
3414	820	1	1	2	2008	Mumbai	Fair	No	16568291
3415	4390	6	5	4	1999	Bangalore	Good	No	68905683
3416	4030	6	5	3	1999	Pune	Very Good	Yes	65361054
3417	4622	6	5	4	2010	Bangalore	Very Good	Yes	78694419
3418	1954	3	3	2	2014	Delhi	Good	Yes	36730806
3419	4540	6	5	1	2013	Coimbatore	Very Good	Yes	45516305
3420	1357	3	2	2	2012	Noida	Good	No	21504450
3421	4470	6	5	4	2019	Mysore	Good	Yes	39398296
3422	2441	3	2	2	2007	Chennai	Very Good	No	35137073
3423	4606	6	5	2	2022	Mysore	Fair	Yes	38776900
3424	777	1	1	4	2023	Coimbatore	Very Good	Yes	9053208
3425	925	1	1	3	1999	Kochi	Fair	Yes	8684024
3426	1035	1	1	3	2014	Mumbai	Excellent	Yes	28278365
3427	4833	6	5	2	2007	Coimbatore	Good	Yes	42990210
3428	3513	4	5	1	2020	Ahmedabad	Poor	Yes	31616467
3429	2589	4	4	3	2022	Bangalore	Fair	No	43446849
3430	1675	3	2	3	2005	Kochi	Very Good	Yes	19069305
3431	1590	2	3	4	2004	Mumbai	Fair	Yes	33200687
3432	3775	5	5	3	2019	Coimbatore	Good	No	39802174
3433	1091	2	1	2	2011	Hyderabad	Excellent	No	16715451
3434	4872	6	5	3	2023	Bangalore	Excellent	No	98049040
3435	2869	3	4	3	2007	Mysore	Good	Yes	26956592
3436	2695	5	5	1	2009	Bangalore	Good	Yes	46611211
3437	2905	3	2	1	2018	Delhi	Fair	No	48371719
3438	2509	5	5	2	2010	Mumbai	Excellent	No	68166732
3439	3045	4	4	3	2017	Mysore	Very Good	No	29619809
3440	3879	5	4	4	2026	Jaipur	Good	No	42495402
3441	1617	2	1	2	2026	Jaipur	Fair	No	14099426
3442	1953	3	3	4	2015	Noida	Fair	Yes	28483487
3443	2492	3	3	2	2013	Chennai	Very Good	No	34496862
3444	1284	3	3	1	2010	Mysore	Very Good	No	12111315
3445	1502	2	3	4	1998	Delhi	Fair	No	21961748
3446	3020	4	5	3	2007	Ahmedabad	Good	No	31027184
3447	3553	4	4	4	2000	Kochi	Very Good	Yes	35793874
